Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
CJ McCollum	NOP	33	39	10	29	33.4	22.2	8.3	18.4	45	3.2	8.3	38.1	2.5	3.5	72.6	0.7	3	3.7	3.8	1.8	0.8	0.6	2.3	34.6	0	0	-4.7
Brandon Ingram	TOR	27	18	5	13	33.1	22.2	8.6	18.5	46.5	2.4	6.4	37.4	2.6	3.1	85.5	0.9	4.6	5.6	5.2	3.8	0.9	0.6	2.5	37.3	0	0	-7.1
DeMar DeRozan	SAC	35	48	25	23	35.8	21.9	8.1	16.6	49	0.9	2.8	33.6	4.7	5.4	86.2	0.5	3.3	3.9	3.7	1.4	1	0.5	1.9	35.1	0	0	2
Darius Garland	CLE	25	51	41	10	30.3	21.8	7.8	15.6	49.9	3	6.9	43.8	3.2	3.6	87.5	0.6	2	2.5	6.6	2.5	1.1	0.2	2.1	36.1	5	0	6.8
RJ Barrett	TOR	24	41	14	27	33.3	21.6	8.1	17.3	47	1.8	5.2	34.9	3.5	5.4	65.5	1	5.6	6.6	5.7	3	0.8	0.3	2.6	38.4	9	2	-2.5
Jalen Green	HOU	23	53	33	20	33.4	21.4	7.6	17.7	42.7	2.8	8.1	35.1	3.5	4.1	85.2	0.6	3.8	4.4	3	2.5	0.9	0.3	1.7	32.2	1	0	1.1
James Harden	LAC	35	49	29	20	34	21.3	6.2	15.8	39.5	2.8	8.1	34.2	6.1	6.8	89.2	0.6	5.1	5.7	8.6	4.5	1.5	0.6	2.1	42.7	23	2	3.2
Jalen Williams	OKC	23	49	40	9	32.6	21.1	8.2	17	47.9	1.7	4.9	35	3	3.9	77.9	0.8	4.7	5.5	5.1	2.3	1.8	0.7	2.4	40.5	3	0	6.9
Brandon Miller	CHA	22	27	8	19	34.2	21	7.3	18.2	40.3	3.9	10.9	35.5	2.5	2.9	86.1	0.9	3.9	4.9	3.6	2.8	1.1	0.7	2.7	34.9	2	0	-4.6
Pascal Siakam	IND	30	52	29	23	33.1	20.8	8	15.1	53.1	1.8	4.2	41.4	3.1	3.9	77.9	1.8	5.5	7.3	3.4	1.3	0.9	0.5	2.6	37.6	8	0	2.6
Jordan Poole	WAS	25	46	9	37	31.2	20.7	6.7	16.2	41.4	3.5	9.4	37	3.8	4.4	87.1	0.5	2.7	3.2	4.9	3.4	1.4	0.5	3.2	34.3	1	0	-9.3
